text,label
"Valient effort, low budget

I really enjoyed this worthy effort to get Lovecraft right. There were some budget/technical issues. For instance, the stop-motion Cthulu wasn't very satisfying, even given the low budget. In fact, the design of the hideous statues and such wasn't very satisfying in general. But the weird angular design of buildings in the dreams and finally the island were very well done, both creepy and ""modern"". The actors did a great job, and the script was wonderfully faithful to the source material. If you love the story and can put up with a pretty heinous Cthulu special effect, this is well worth getting.",1
"O my gosh dont bother

Smith, Dick. Babe: The Galliant Pig. Knopf Paperback.118 pages.Knopf's Babe The Galliant Pig is an inspiring, and heart-warming story about a pig that goes to the Hoggot farm. At this farm Mrs. Hogget is having dreams of a big fat pig that she can make into bacon. The pig's destiny is breakfast until Mr. Hoggot reveals a talent Babe has. He is a sheepherder. Babe is the best sheep dog Mr. Hoggot has ever hade. Shortly after finding babe's talent he is entered in a sheep-dog championship. The audience is confused to see this sheep-pig. Will this galliant pig win the tournament? Babe The Galliant Pig is the most pointless story I have ever read. There is hardly any plot, and the ending was enormously cheesy. I don't recommend this book to anyone.",0
"Lapses in Historical Accuracy

I also agree that this book is one-sided for Wood had created serious lapses in historical accuracy. It is simply incorrect to call Alexander or his Macedonian army ""Greek"", when the ancient Greek and Roman historians made a clear distinction between the Greek and Macedonian nations. Alexander was known as Macedonian and had never been called ""Greek"" in any ancient text, and Wood should have represented him for what he was. Instead he left an inaccurate portrait of the famous conqueror ascribing him a false ethnicity and identity for which he was also sharply criticized by Archaeology in 1998.",0
"Mg citrate - works well for my visual migraines

My doctor suggested magnesium citrate for my visual migraines. This product is the best-priced I've found and it works well.",1
"Works great. Would recommend.

I purchased three of these to keep my entertainment cabinet with my gaming consoles and HD TV. I was going to purchase three insert fans that would require three holes drilled in the side of my cabinet and would have a temperature control to cut on and off..but at over 3x the price of doing the same thing with these I chose to use this product. I have a usb hub plugged into my HD TV and have two of these fans setup to cool it and have the third plugged into my PS since. By doing this the fans only turn on when my TV or PS3 is turned on...works great and really keeps things cool considering my cabinet is not much bigger than my TV and air ventilation is not that great.If I need any more fans I will be sure and purchase these again.",1
"long life

We have purchased these batteries before. We have had to replace the battery only once prior to this purchase. We have just purchased this battery, so I can't say how long it will last, but so far so good.",1
"Way cheaper than vet

My Siberian Husky was scrapping her bum across the ground in a comical looking fashion. As amusing as it was I knew something was wrong. I could have gone to the vet and paid $300 for a diagnosis and treatment.Instead I did some research online and quickly narrowed down what it could be. I found small white grains in her stool the next day, which settled the matter.I spend $16 instead of $300, but I couldn't have done it without these pills. I won't hesitate to use this product again; I highly recommend it.",1
"Beach Reading without shame!

The fifth in the Mary Russell series - out of sequence in the time line of the books, but it's a necessary `prequel' for the sixth book. As some of the other reviewers stated, it takes a long time for the plot to reveal exactly what Holmes and Russell are looking for on this journey. However, as it's a `prequel' to book six, the development of how Holmes and Russell interact with their Arab guides is necessary - and (prequel or no) I thought, interesting. It's a great series - the books are generally a quick read, and usually touch on some topic in enough detail that your interest is sparked into finding a little more about what you're reading about.",1
"THIS IS ACTUALLY EVEN BETTER THAN THE ORIGINAL!

THIS TIME, MICHAEL DUDIKOFF AND STEVE JAMES RETURN TO INVESTIGATE THE DISSAPEARANCE OF SOME MARINE SOLDIERS, WHICH LEADS THEM TO A RUTHLESS GANG OF DRUG PUSHERS. VERY VERY ENTERTAINING AND TO MY SUPRISE, IT IS ACTUALLY BETTER THAN THE FIRST FILM! THE FIGHTS AND THE PLOTS HAVE GOTTEN BETTER. THE FINAL FIGHT IN THIS FILM IS ABSOLUTELY SPECTACUALAR. MICHAEL DUDIKOFF IS DEFINITELY AT HIS BEST HERE. FOR FANS OF THE ORIGINAL, BUY THIS NOW!",1
"Elegant Pen

Totally elegant pen. This sterling silver pen will be a nice twenty fifth anniversary gift. And it comes gifted boxed.",1
"Good for audio books, radio plays

One of the other reviewers had noted that this player will start back up right where you stopped it. So I bought it, since other players will back up to the beginning of the track, which is useless for an audio book, unless you enjoy hearing the beginning of a chapter again. Instructions are vague, only 3 buttons to work with. So you'll have to experiment to learn it.1. Hit the play/pause/stop (pps) button TWICE to start.2. Hold the pps button for 3 seconds to stop.3. Hold the volume/skip track buttons to change volume.4. Hit the buttons to skip tracks.I wish it had a display, that's why only 4 stars. No EQ, so I wouldn't recommend for audiophiles. But great for audio books.Oh, Coby also includes a CD rom for the driver, so you can use this with Windows 98.",1
"The best expose' of class in America I've ever read.

I read this book for the first time over 20 years ago. It not only described an aspect of America I long suspected, but described in enlightened detail what was easily observable. Lewis Lapham's writing style is is excellent. Funny, high-brow and piercing.growing up in a privileged world few would ever see let alone experience, Mr. Lapham skewers myths and exposes skeletons in the closets of the jet set. He also does an excellent job of explaining and describing the overlap of politics and the very very rich; the arena of influence where money and politics are exposed as the ""wizard behind the curtain"" of so much that happens in American society. An excellent book. Just beginning to read it for a third time.",1
"Good reading

The book provides a very readable overview of the eath's evolution. I stress overview since it is not intended to be a petrological or mineralogical treatise, but rather a view from a distance. I found it very informative for me despite having a fair degree of understanding from the outset. It could be an excellent book for folks with some knowledge, but little vision of what our earth has gone through and how it made the trip.",1
"Hello.............I'm Johnny Cash

Hello.......I'm Johnny Cash...the famous words that opened his acts on almost all of his shows. The making of Johnny Cash at Folsom prison is really great reading, I would really recommend this book to everybody, even if you are not a Cash fan",1
"ub mirror lens aviator sunglasses 3 pack

This set comes with three sets of glasses which would be great if they were better quality. There was a nice cloth carrying bag that was shown, but I never received it with my order. Also the glare off these glasses is horrible. They may be nice to give to children as novelty gifts or teens who may be going for a 'look', but anyone who needs a serious pair of sunglasses should steer clear.",0
"Dork music

Ok, booty rap was good in the 90's, when it was offensive and raunchy like, 2 live crew, Disco Rick and The Dogs, Poison clan etc.....But this is just wack weak lyrics, corny typical krunk beats that start all sounding the same....And is it just me are these guys as rappers, just horrible there voices all raspy, and annoying and one the guy's from the groups always does that annoying shout thing in interviews like hahhhhherrrrrr.....( what is he on crack or something)So if you like radio friendly, pretty boy music then the Ying Yang twins are for you peace....",0
"Amazon mixer review

I love this mixer. It can handle heavy cookie doughs and looks beautiful on my kitchen counter. The only fault I find with it is the speeds are to the back of the mixer not the front and it is a little inconvenient. If they were on on the front along with the tilt head button it would be more convenient. Amazon ships very fast. I would recommend this product along with Amazon.",1
"Unreliable operation

When this product was first received, it was noted that the connections on top were too close together for easy connection. The high amperage (200) needs a substantial connection and it it difficult to do so with this configuration. I would have sent it back, except all the competitive units look similar. I finally designed a connection which would be reliable and not stress the connection points. The item was used for about 30 days with loads up to about 150 amps and then failed when the microwave oven was turned on. (This had been used many times before.) At that time the Inverter drew about 120 amps through this unit. I had the device for several months at that time, so it was too late to return it to the vendor and it was impossible to find the route to the manufacturer to get anything done that way. The coil appears OK, the thing makes the normal snap sound when it operates, but the contacts do not make up.",0
"A simple introduction to Clinical Hypnosis

This was the first book I've read on hypnosis. I found it to be very informative as I had not heard of the new contemperary methods of induction. The book is written well and there are a lot of helpful references to relevent work. I liked this book as it was tied together professionally and wasn't just a collection of trance-scripts.Since I've read this book I have sucessfully hypnotized 3 of 4 attempts. The only thing missing was a pointer to a book that one could use for further self-learing about hypnosis.",1
"Very Cool Doll!

I absolutely love the InuYasha doll! My mom wishes they had dolls like him back in the 60's when she was young. Authentically detailed and fully articulated, he's a must, in my opinion, for any InuYasha fan or doll collector. Too bad the other characters aren't available like this. He really deserves to be standing next to a 1/6 scale Kagome, at least, on display. Anyway, he is nice. Great product!",1
"Feeds a lot of birds simultaneously

I've used this feeder for about 8 or 9 years and it's great because its design partitions the seed into three levels automatically when you fill it from the top. The result is that all 12 feeding stations continue to have seed as the seeds are consumed. Most other feeders begin to deplete the uppper level ports, then the middle ones, and finally only the bottom ports have seed for the birds. With this feeder, each of the three levels individually are emptied out as the birds feed. Plus, holding 8 pounds of seed reduces the number of times it must be filled. There is no down side to this feeder, though one must remember it's heavy when full so hang it securely.",1
"Why bother with this?

Tom Postilio has got a nice voice, but he apes Sinatra so much, it's barely worth listening to him. Go and dig out one of Frank's original albums rather than spend your time listening to a soundalike. Postilio also doesn't have as much rhythm as Sinatra (or Bobby Darin), so the uptempo songs kind of fall flat. I would pass on this disc.",0
"Beyond a flat wall

This is a fascinating book that brings to life the evidence that is not only clear but fairly undeniable. One only has to look at the prophecy in Ezekial 38 and 39 to see that God certainly uses the ""weather"" to shake things up and put an end to anti-semitic/anti-Israeli behavior. It is very easy for a third or fourth party to say to someone 'give your land up to your certain enemy', especially when the third party has no vested interest. The blessed hope in the Faith and in this book is that one doesn't have to be a certain type of scholar to comprehend basic truth. They must simply look beyond a flat wall and see a vision of detailed structure. This book makes that very easy to accomplish.",1
"best workout book

I have been using this book for 3 weeks and it has already transformed my fitness and changed the way I think about exercising. If you are looking for an easy to follow work out with a lot of variation or just some new inspiration I'd pick up a copy. It's a great way to get out of your workout rut and I expect to be doing most of these exercises for the rest of my life.",1
"irish wedding ring

I bought this ring to replace my wedding ring after I broke my ring finger and my old ring didn't fit. When I got it, the ring seemed like cheap aluminum. I guess you get what you pay for. My daughter wears it now and likes it. That is why I gave it 2 stars.",0
"Really helps!!!!

This product really helped even the first day i could feel a difference. Can't wait to see how i feel in a month or two. I have less fatigue and it has also helped with the ""foggy headed"" feeling. Overall i feel more ""normal"". It was a little harder to get to sleep the first 4-5 nights so i would recommend starting with half the dosage taken earlier in the day and using some camomile tea in the evening. I am getting used to them now and it has been well worth it.",1
"a theory why Clay fans did not buy this book....

Clay fans historically do not spend money on stories about Clay fans. We can get that for free. To imply that fans were instructed not to buy this is specious - how have other books about Clay sold? Surely the author did not believe this book was another Learning To Sing?Clay fans can also get more information than they need about Clay right on the internet. So again, why buy a book?I did read a bit of the book. Found no reason to buy it.The author evidently thought this book was a slam-dunk for sales to Clay fans, and there is no data to support this. None of the other books written about Clay have done very well - because this is the internet age. We can easily find anything that may be in a book, on our own. This is a vanity publication, with vanity publication sales. And Clay has never endorsed any other book about him; why should he do so now?",0
"A beautiful yoga practice

This book gets into the more spiritual aspects of yoga. If you are interested in expanding your yoga practice beyond just as an exercise, then this is a great dvd. If you are interested in enlightenment, and living a yogi/yogini lifestyle, then buy this DVD it is a great place to start. The bonus features were very helpful as well.~Namaste",1
"just plain cheesy

I got this book at a book swap and later saw that the first 75 pages were missing. I read it anyway and found that I missed nothing at all. The writing is very amateurish with the characters doing lots of cheesy self-reflection. The end is nothing but LDS (mormon) propaganda. The main character is torn between her LDS standards and the man she loves. Lo and behold he turns to the mormon faith and all is well. Puh-leeze! This might be an okay read for a teenager, but for an adult it's pathetic and laughable.",0
"Wonderful

i am only 18 and i usually don't like this kind of music but i love this CD. i heard it once and i just had to buy it. just put it in and press play and sit back and listen. there is no need to skip tracks because all the tracks are awesome. it is just a shame that he did not get to finish this work. but what he did do was truely wonderful.",1
"If at first it doesn't work, try again later.

The first times my daughter and I tried this book, she said she hated it. Getting her to lesson 50 was a lot of work, so I put the book down for a few months. When we picked it up again it was so easy. I had her go quickly though three lessons a day until we got back to lesson 50, now we do one lesson a day. I think its a breeze because I found a reward she loves. Every day after her lesson I read a chapter of Patrica Wrede's Enchanted Forest Chronicles (Princesses, dragons, magic, what more could a little girl want). Now she begs for her lesson everyday, and can read almost word she sees. Her brothes run to watch her read when she gets to the story part. I will start my four year old on this book as soon as I find something that will motivate him.",1
"A well-written and timely (even now) expose of Net hype

Even though Silicon Snake Oil is a few years old (ancient by high tech standards) the words of wisdom ring true today. In fact, little has changed really. The hype continues, the promises made, the diappointments legion. I have found little on the Net that compares favorably to real life. Communications, knowledge, realtionships all happen better in the real world than they do online. Only those who have been online so long that there brains have turned to mush would argue with this. The Internet creates more problems than it solves and lowers the quality of life for all those who take part in it. Internet?? Internot!!!!",1
"This Game [Stinks], Not A True Sequel

The reason this game [stinks] is because everyone leads you to think that you play with solid snake through the whole game with is a misconseption, you DO NOT play with him through the entire game. Eventually you come to this turnpoint where you play with this [guy], Raiden. Which in my opinion the game only gets worse from there with the stupid story. Lets just say this game just goes downhill after the tanker mission. P.S.- ""the only reason i gave this game a 1 star is because i couldnt give it a zero""",0
"Absolutely the pits!

The ""Easy Set"" Intex pool is the furthest thing from easy I have ever seen. We had the 18x48 inch version. It leaks and the ladder is only good if you'rea child. Who lets their child swim in a pool alone? It took days to drain it. There is no way it would ever fit back in the box. I returned mine to the store and couldn't be happier to see it go.",0
"Silas Manor

I think the reader made all the difference. He was great. I would recommend the audio to anyone who would like to hear a nice classic story from the past. I wasn't sure if I would care for it but I have to say I really enjoyed it.",1
"Botched

Make no mistake, I love EXPRESSO BONGO, and the film itself would normally merit five stars; for style and sensibility, it was ahead of the curve for 1959. Watching this version of it, however, gives the false impression that this is just another teen idol film, due primarily to the several excised musical interludes. Of course, my own discovery of the missing Harvey numbers was upsetting, but by far the biggest letdown was the absence of Meier Tzelniker's peculiar performance of a charming number called ""Nausea,"" the strangest moment in the film and biggest disappointment of this edition. Kino is generally one of the few labels I would buy from sight unseen, but this gives me cause for concern...",0
"So disappointed

Was so disappointed in this book - for the first time in my life, the movie is a thousand times better. The writing was amature and at times, uninteresting, and failed to get into the grit and the heart of what happened. With a story like this, if it was well written, the audience should be in tears and, well, I kept reading to find out when that time would come. No emotion. Would not recommend to anyone. Go watch the movie - you'll enjoy it much more.",0
"don't buy

Within two weeks, on the first unit we bought, the volume went away on the tv and the telephone, then the picture went black, then it wouldn't play any cd's or dvd's. We sent it back, ordered and received another unit. We've had it for four weeks. By now, the dvd won't eject the dvd (one of my favorites), and the telephone doesn't answer anymore. The one star I gave it is only because I had to put something down. Something is seriously wrong with the product. For us, it's been a piece of junk.",0
"The same song 13 times

Alright so Im gunna sum up this album in one quick blue print1. Little instramental before song2. Slow singing3. Singning picks up4. Chorus5. Back to the way 3 was4. Chorus5. Bout 20 seconds of screaming6. Chorus7. FadeDon't agree? Play ""Numb"" and ""Breaking the Habit"" at the same time. Its the same song, different rythm.With that said I'd like to say, before all you fans kill me, that I liked LP's debut, but they're just another band to be added to the millions cranked through the system and spit out a ""hit"" producing machine.",0
"Wonderfully Something

Andy Chae extends his musical contributions with his project ""Brookville."" Throughout th album he toys with a mixture of electronic and organic arrangement much like radiohead has been doing for the past 3 albums. Dont get me wrong, Its not radiohead rehashed. Its much more like Andys work with ivy extended. The music never peaks or climes to high. Instead it ambles along with an empty mellow beauty. Perfect for mornings, late nights or lazy afternoons. A gem.",1
"I like Bone Thugs N Harmony Better

Man this is one wack album. These dudes cant rap worth sh_t. I dont think 50 cent should ever expose his true talent like this again, because with out eminem or dr. dre producing his music the world is going to realize how much he sucks. And they trying to hard to be gangstas. I think we all know who the real wanksta is here. And its not Ja Rule. Plus I dont think any rap group will ever be as tight as Bone.",0
"Great Player - Not so good a story teller

I bought this book to hear the dirt about Jose Mesa. Vizquel is great talent - especially in the field, but what an ego!",0
"We don't need any other game in our home!

My kids ADORE this game. . .ages 3 and 4. We've played it with friends ages 1 and 2 as well and the rules are just modified. The kids all love seeing the treasure chest open every time. I wish there were more cards that I could get for the game just to advance it a bit, but I can also make some. A great purchase!!",1
"it was great

I thought Fallon Blood was great. It really got into the revoltlution and love. two of my favorite things. It also greatly describe making love which Jordan could of not done so well i thought all of his books have been great and i can't wait to get the other 2 books in this series.",1
